metodo,precision,tiempo,eficiencia
manual,0.72,4.5,0.7
manual,0.75,4.8,0.72
manual,0.7,4.6,0.69
manual,0.68,5.0,0.68
manual,0.74,4.7,0.71
manual,0.73,4.6,0.7
manual,0.71,4.9,0.69
manual,0.69,5.1,0.67
manual,0.76,4.4,0.72
manual,0.72,4.8,0.7
manual,0.74,4.6,0.71
manual,0.73,4.7,0.7
manual,0.71,4.9,0.69
manual,0.7,4.8,0.68
manual,0.72,4.6,0.7
manual,0.75,4.5,0.72
manual,0.73,4.7,0.7
manual,0.69,5.0,0.67
manual,0.71,4.8,0.69
manual,0.72,4.7,0.7
manual,0.74,4.6,0.71
manual,0.73,4.8,0.7
manual,0.7,4.9,0.68
manual,0.71,4.7,0.69
manual,0.72,4.6,0.7
manual,0.74,4.5,0.71
manual,0.73,4.7,0.7
manual,0.71,4.8,0.69
manual,0.7,4.9,0.68
manual,0.72,4.6,0.7
manual,0.72,4.8,0.69
manual,0.73,4.8,0.7
manual,0.71,4.7,0.7
manual,0.74,4.8,0.7
manual,0.73,4.7,0.7
manual,0.73,4.6,0.69
manual,0.7,4.8,0.7
manual,0.75,4.7,0.67
manual,0.69,4.5,0.72
manual,0.72,4.8,0.68
manual,0.71,4.8,0.68
manual,0.73,4.8,0.7
manual,0.73,5.0,0.7
manual,0.72,5.0,0.69
manual,0.7,4.8,0.7
manual,0.74,4.6,0.73
manual,0.73,4.8,0.71
manual,0.73,4.9,0.7
manual,0.69,4.5,0.69
manual,0.72,4.8,0.69
manual,0.71,4.7,0.71
manual,0.73,4.7,0.68
manual,0.71,4.7,0.7
manual,0.71,4.7,0.7
manual,0.74,4.6,0.7
manual,0.69,4.7,0.7
manual,0.72,5.0,0.69
manual,0.74,4.9,0.69
manual,0.72,4.5,0.72
manual,0.73,4.5,0.66
manual,0.72,5.0,0.7
manual,0.71,4.6,0.71
manual,0.74,4.5,0.68
manual,0.69,4.5,0.69
manual,0.71,4.4,0.68
manual,0.74,4.8,0.7
manual,0.73,4.6,0.7
manual,0.71,4.7,0.68
manual,0.72,4.9,0.7
manual,0.7,4.6,0.71
manual,0.69,4.5,0.7
manual,0.73,4.9,0.69
manual,0.73,4.7,0.72
manual,0.71,4.5,0.69
manual,0.7,4.7,0.69
manual,0.72,4.5,0.69
manual,0.69,4.9,0.7
manual,0.7,4.7,0.7
manual,0.69,4.9,0.69
manual,0.68,4.6,0.7
manual,0.71,4.7,0.7
manual,0.73,4.6,0.71
manual,0.74,4.6,0.69
manual,0.73,4.8,0.67
manual,0.69,4.7,0.68
manual,0.73,4.7,0.69
manual,0.69,4.9,0.69
manual,0.75,4.8,0.7
manual,0.74,5.0,0.69
manual,0.72,4.6,0.71
manual,0.71,5.2,0.71
manual,0.73,4.6,0.69
manual,0.75,4.6,0.7
manual,0.71,4.9,0.71
manual,0.71,4.5,0.7
manual,0.71,4.7,0.69
manual,0.76,4.7,0.68
manual,0.71,4.7,0.73
manual,0.72,5.0,0.68
manual,0.7,4.9,0.68
ia,0.88,1.2,0.9
ia,0.9,1.3,0.92
ia,0.91,1.1,0.93
ia,0.89,1.4,0.91
ia,0.92,1.2,0.94
ia,0.9,1.3,0.92
ia,0.89,1.2,0.91
ia,0.91,1.3,0.93
ia,0.93,1.1,0.95
ia,0.88,1.4,0.9
ia,0.9,1.2,0.92
ia,0.92,1.1,0.94
ia,0.91,1.3,0.93
ia,0.89,1.2,0.91
ia,0.9,1.3,0.92
ia,0.91,1.1,0.93
ia,0.92,1.2,0.94
ia,0.88,1.4,0.9
ia,0.89,1.3,0.91
ia,0.9,1.2,0.92
ia,0.91,1.1,0.93
ia,0.92,1.2,0.94
ia,0.9,1.3,0.92
ia,0.89,1.2,0.91
ia,0.91,1.3,0.93
ia,0.93,1.1,0.95
ia,0.9,1.2,0.92
ia,0.89,1.3,0.91
ia,0.91,1.2,0.93
ia,0.92,1.1,0.94
ia,0.91,1.2,0.92
ia,0.92,1.2,0.91
ia,0.9,1.2,0.93
ia,0.87,1.3,0.89
ia,0.92,1.3,0.95
ia,0.89,1.3,0.94
ia,0.91,1.2,0.94
ia,0.91,1.3,0.94
ia,0.91,1.2,0.92
ia,0.89,1.3,0.94
ia,0.89,1.3,0.92
ia,0.91,1.2,0.93
ia,0.9,1.2,0.91
ia,0.9,1.3,0.95
ia,0.93,1.1,0.93
ia,0.89,1.3,0.92
ia,0.89,1.2,0.93
ia,0.9,1.3,0.91
ia,0.89,1.3,0.9
ia,0.89,1.2,0.93
ia,0.92,1.2,0.92
ia,0.91,1.3,0.95
ia,0.93,1.2,0.96
ia,0.87,1.4,0.92
ia,0.91,1.3,0.91
ia,0.9,1.2,0.9
ia,0.91,1.2,0.89
ia,0.92,1.3,0.9
ia,0.9,1.3,0.92
ia,0.89,1.3,0.92
ia,0.93,1.2,0.91
ia,0.91,1.2,0.93
ia,0.91,1.2,0.92
ia,0.91,1.0,0.9
ia,0.9,1.2,0.92
ia,0.89,1.1,0.91
ia,0.92,1.2,0.91
ia,0.9,1.4,0.93
ia,0.9,1.2,0.92
ia,0.9,1.0,0.93
ia,0.91,1.2,0.94
ia,0.9,1.1,0.93
ia,0.9,1.1,0.9
ia,0.93,1.3,0.95
ia,0.91,1.1,0.95
ia,0.91,1.2,0.94
ia,0.9,1.4,0.95
ia,0.89,1.4,0.91
ia,0.91,1.1,0.93
ia,0.88,1.2,0.92
ia,0.9,1.3,0.93
ia,0.9,1.0,0.92
ia,0.91,1.2,0.9
ia,0.89,1.2,0.94
ia,0.9,1.2,0.92
ia,0.91,1.2,0.93
ia,0.9,1.3,0.91
ia,0.9,1.3,0.94
ia,0.92,1.1,0.93
ia,0.91,1.3,0.93
ia,0.88,1.2,0.94
ia,0.88,1.1,0.89
ia,0.89,1.2,0.93
